D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_9332.png,5.1072,8.4796
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_12650.png,5.1072,10.856604
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_8964.png,5.107262,8.208847
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_11766.png,5.10731,10.228931
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_13093.png,5.107455,11.171579
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_9406.png,5.107628,8.534311
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_1075.png,5.1082,2.5276
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_1959.png,5.1082,3.0506
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_2623.png,5.1082,3.5726
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_3287.png,5.1082,4.0976
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_4024.png,5.1082,4.6316
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_4761.png,5.1082,5.1586
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_5499.png,5.1082,5.7006
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_6236.png,5.1082,6.2266
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_6973.png,5.1082,6.757098
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_7710.png,5.1082,7.2956
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_8448.png,5.1082,7.8336
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_9185.png,5.1082,8.371071
D:\capstoneRoot\data\ASPIRE_forDistro\2 Sidelooking\LWIR\image_9922.png,5.1082,8.9136
