D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931080278.png,1.2902,11.4686
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931072333.png,1.2942,5.3746
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931081059.png,1.2972,12.0766
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931071293.png,1.2992,4.5786
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931072203.png,1.3022,5.2776
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931081189.png,1.3042,12.1756
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931071423.png,1.3072,4.6696
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931080408.png,1.308945,11.5706
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931071163.png,1.3092,4.4756
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931072073.png,1.318595,5.1746
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931079887.png,1.324519,11.1736
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931070384.png,1.4022,3.8776
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931080537.png,1.4052,11.6716
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931079755.png,1.4412,11.0706
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931070253.png,1.5132,3.7776
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931083663.png,1.5232,14.0576
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931077278.png,1.5252,9.1756
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931070123.png,1.5262,3.6746
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931077408.png,1.5302,9.2756
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931078189.png,1.54191,9.8736
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931079232.png,1.547464,10.6726
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931069993.png,1.5522,3.5786
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931083793.png,1.5522,14.1576
D:\capstoneRoot\data\ASPIRE_forDistro\1 Downlooking\RGB\image_2931079623.png,1.567476,10.9726
